iter	Passed	Remaining
0	4	1221
1	7	1186
2	11	1153
3	15	1132
4	19	1132
5	23	1139
6	27	1136
7	30	1121
8	34	1109
9	38	1106
10	41	1100
11	45	1088
12	49	1085
13	52	1076
14	56	1072
15	60	1066
16	63	1063
17	67	1057
18	71	1053
19	74	1047
20	78	1039
21	81	1034
22	85	1032
23	89	1031
24	93	1028
25	97	1025
26	101	1022
27	104	1015
28	108	1015
29	112	1013
30	116	1011
31	120	1010
32	124	1005
33	128	1002
34	132	999
35	135	995
36	140	996
37	144	993
38	147	987
39	151	983
40	155	980
41	158	975
42	162	972
43	166	968
44	170	964
45	173	958
46	177	956
47	181	951
48	184	945
49	188	941
50	192	937
51	196	934
52	199	930
53	203	926
54	207	923
55	211	922
56	216	920
57	220	918
58	223	913
59	227	908
60	230	904
61	234	900
62	238	897
63	241	892
64	245	887
65	249	883
66	252	879
67	256	875
68	260	871
69	263	867
70	267	863
71	271	858
72	275	855
73	278	851
74	282	847
75	286	843
76	290	842
77	294	838
78	298	833
79	301	829
80	306	828
81	311	828
82	316	827
83	321	826
84	326	824
85	331	824
86	335	821
87	341	821
88	345	817
89	348	813
90	352	809
91	356	805
92	359	800
93	363	796
94	367	792
95	370	787
96	374	783
97	378	779
98	382	775
99	385	771
100	389	768
101	393	763
102	397	759
103	400	755
104	404	751
105	408	748
106	412	743
107	415	739
108	419	735
109	423	731
110	428	728
111	432	725
112	436	721
113	440	718
114	443	714
115	448	711
116	452	708
117	456	704
118	460	700
119	463	695
120	467	691
121	471	687
122	475	684
123	479	680
124	483	676
125	486	672
126	490	668
127	494	664
128	497	660
129	501	655
130	505	652
131	509	648
132	513	644
133	516	640
134	520	636
135	524	632
136	528	628
137	532	625
138	536	621
139	540	617
140	544	614
141	548	610
142	551	605
143	555	601
144	559	597
145	562	593
146	566	589
147	570	585
148	573	581
149	577	577
150	581	573
151	585	569
152	588	565
153	592	561
154	596	558
155	600	554
156	604	550
157	608	546
158	611	542
159	615	538
160	619	534
161	623	530
162	626	526
163	630	522
164	634	519
165	638	515
166	641	511
167	645	507
168	648	503
169	652	499
170	656	495
171	660	491
172	664	487
173	668	483
174	671	479
175	675	476
176	679	472
177	683	468
178	687	464
179	691	461
180	695	457
181	699	453
182	703	449
183	706	445
184	710	441
185	714	437
186	717	433
187	721	429
188	725	425
189	728	422
190	732	418
191	736	414
192	740	410
193	743	406
194	747	402
195	751	399
196	755	395
197	759	391
198	762	387
199	766	383
200	770	379
201	774	375
202	777	371
203	781	367
204	785	363
205	789	360
206	793	356
207	797	352
208	801	348
209	805	345
210	809	341
211	812	337
212	816	333
213	820	329
214	823	325
215	827	321
216	830	317
217	834	313
218	838	310
219	841	306
220	845	302
221	849	298
222	853	294
223	857	290
224	861	287
225	864	283
226	868	279
227	872	275
228	876	271
229	879	267
230	883	263
231	886	259
232	890	256
233	893	252
234	897	248
235	901	244
236	905	240
237	909	237
238	913	233
239	917	229
240	921	225
241	925	221
242	928	217
243	932	214
244	936	210
245	940	206
246	944	202
247	948	198
248	952	195
249	956	191
250	960	187
251	963	183
252	967	179
253	970	175
254	974	171
255	978	168
256	981	164
257	985	160
258	989	156
259	992	152
260	996	148
261	1000	145
262	1003	141
263	1007	137
264	1011	133
265	1015	129
266	1019	125
267	1023	122
268	1026	118
269	1030	114
270	1034	110
271	1037	106
272	1041	103
273	1045	99
274	1049	95
275	1053	91
276	1057	87
277	1060	83
278	1064	80
279	1067	76
280	1071	72
281	1075	68
282	1079	64
283	1083	61
284	1086	57
285	1090	53
286	1093	49
287	1097	45
288	1101	41
289	1104	38
290	1108	34
291	1112	30
292	1116	26
293	1119	22
294	1123	19
295	1127	15
296	1131	11
297	1135	7
298	1138	3
299	1142	0
